bezirk;city;01.01.2000;01.02.2000;01.03.2000;01.04.2000;01.05.2000;01.06.2000;01.07.2000;01.08.2000;01.09.2000;01.10.2000;01.11.2000;01.12.2000;01.01.2001;01.02.2001;01.03.2001;01.04.2001;01.05.2001;01.06.2001;01.07.2001;01.08.2001;01.09.2001;01.10.2001;01.11.2001;01.12.2001;01.01.2002;01.02.2002;01.03.2002;01.04.2002;01.05.2002;01.06.2002;01.07.2002;01.08.2002;01.09.2002;01.10.2002;01.11.2002;01.12.2002;01.01.2003;01.02.2003;01.03.2003;01.04.2003;01.05.2003;01.06.2003;01.07.2003;01.08.2003;01.09.2003;01.10.2003;01.11.2003;01.12.2003;01.01.2004;01.02.2004;01.03.2004;01.04.2004;01.05.2004;01.06.2004;01.07.2004;01.08.2004;01.09.2004;01.10.2004;01.11.2004;01.12.2004;01.01.2005;01.02.2005;01.03.2005;01.04.2005;01.05.2005;01.06.2005;01.07.2005;01.08.2005;01.09.2005;01.10.2005;01.11.2005;01.12.2005;01.01.2006;01.02.2006;01.03.2006;01.04.2006;01.05.2006;01.06.2006;01.07.2006;01.08.2006;01.09.2006;01.10.2006;01.11.2006;01.12.2006;01.01.2007;01.02.2007;01.03.2007;01.04.2007;01.05.2007;01.06.2007;01.07.2007;01.08.2007;01.09.2007;01.10.2007;01.11.2007;01.12.2007;01.01.2008;01.02.2008;01.03.2008;01.04.2008;01.05.2008;01.06.2008;01.07.2008;01.08.2008;01.09.2008;01.10.2008;01.11.2008;01.12.2008;01.01.2009;01.02.2009;01.03.2009;01.04.2009;01.05.2009;01.06.2009;01.07.2009;01.08.2009;01.09.2009;01.10.2009;01.11.2009;01.12.2009;01.01.2010;01.02.2010;01.03.2010;01.04.2010;01.05.2010;01.06.2010;01.07.2010;01.08.2010;01.09.2010;01.10.2010;01.11.2010;01.12.2010;01.01.2011;01.02.2011;01.03.2011;01.04.2011;01.05.2011;01.06.2011;01.07.2011;01.08.2011;01.09.2011;01.10.2011;01.11.2011;01.12.2011;01.01.2012;01.02.2012;01.03.2012;01.04.2012;01.05.2012;01.06.2012;01.07.2012;01.08.2012;01.09.2012;01.10.2012;01.11.2012;01.12.2012;01.01.2013;01.02.2013;01.03.2013;01.04.2013;01.05.2013;01.06.2013;01.07.2013;01.08.2013;01.09.2013;01.10.2013;01.11.2013;01.12.2013;01.01.2014;01.02.2014;01.03.2014;01.04.2014;01.05.2014;01.06.2014;01.07.2014;01.08.2014;01.09.2014;01.10.2014;01.11.2014;01.12.2014;01.01.2015;01.02.2015;01.03.2015;01.04.2015;01.05.2015;01.06.2015;01.07.2015;01.08.2015;01.09.2015;01.10.2015;01.11.2015;01.12.2015;01.01.2016;01.02.2016;01.03.2016;01.04.2016;01.05.2016;01.06.2016;01.07.2016;01.08.2016;01.09.2016;01.10.2016;01.11.2016;01.12.2016;01.01.2017;01.02.2017;01.03.2017;01.04.2017;01.05.2017;01.06.2017;01.07.2017;01.08.2017;01.09.2017;01.10.2017;01.11.2017;01.12.2017;01.01.2018;01.02.2018;01.03.2018;01.04.2018;01.05.2018;01.06.2018;01.07.2018;01.08.2018;01.09.2018;01.10.2018;01.11.2018;01.12.2018
I;Innsbruck;75874;162337;247798;325922;425911;550829;694723;847421;970759;1056378;1106086;1196946;1282172;1376180;1466748;1541814;1639513;1750244;1893708;2039249;2145630;2227808;2283473;2374021;2458261;2552475;2646566;2716457;2804384;2902844;3044277;3186688;3287671;3369517;3429610;3520130;3605115;3698649;3787525;3857543;3929074;4017388;4147773;4295264;4401479;4488312;4551252;4640591;4731428;4825036;4911445;4991510;5084847;5188877;5324238;5467347;5575519;5661678;5723698;5812380;5917519;6011848;6103785;6181306;6280212;6382104;6527170;6678246;6780017;6862462;6922953;7016512;7103028;7197573;7290644;7370976;7473583;7578412;7719493;7867307;7980374;8067347;8131197;8230246;8322230;8418675;8507603;8592716;8694566;8806061;8953688;9114363;9230306;9322958;9397980;9503417;9605086;9716043;9819447;9907215;10014682;10143584;10291495;10438816;10546316;10634988;10704333;10808198;10906444;11004898;11088815;11168170;11260471;11356286;11487423;11625640;11726142;11810115;11875686;11984035;12092484;12199021;12297613;12379622;12489345;12600423;12759975;12911461;13033210;13130312;13208091;13316912;13421776;13524176;13620701;13711393;13819842;13935041;14093073;14247947;14367286;14465100;14544411;14657858;14801327;14909748;15006536;15096523;15209472;15328113;15488140;15644626;15771804;15881604;15978202;16098884;16203713;16315589;16420994;16514730;16637156;16756167;16924913;17087670;17215373;17326870;17415888;17538893;17647079;17757071;17862702;17961461;18080670;18202430;18373045;18545706;18678327;18800639;18895556;19028767;19142746;19260807;19362672;19468284;19598268;19734787;19920876;20103953;20242764;20364007;20461183;20603740;20718693;20844477;20963390;21067034;21198769;21327476;21508496;21690124;21830767;21958009;22056563;22198870;22317205;22436174;22549569;22672575;22800642;22938915;23129885;23321514;23469867;23598452;23698542;23842742;23964217;24096023;24220370;24336096;24476564;24629437;24833048;25025656;25182043;25321230;25436509;25585503
IL;Absam;1070;3451;4669;6869;8267;9680;12570;15151;16828;18531;20272;21976;22549;24386;25538;27560;28614;29919;32972;35676;37147;38759;40334;42214;42699;44649;45568;47948;49112;51566;53401;56123;58371;59884;61015;63186;64327;65396;66585;68710;69981;71700;74137;76847;78738;80530;82139;83889;84372;86189;87081;88584;89800;91457;93886;96258;98463;100175;101660;103037;104101;105784;106987;108605;110149;112320;115381;118604;121142;122704;124065;125502;126411;128444;129508;131861;133569;135561;138497;141501;144901;146994;148596;150461;152198;153649;155243;156945;158819;161474;164582;167476;169889;172160;174077;175881;177685;179771;181853;183731;186292;188795;191892;195286;197987;201216;203033;205155;206920;208552;210460;212327;214492;216993;219868;223409;226671;229028;230475;232484;233911;235534;237043;238655;240942;243120;245622;248145;250492;252655;254182;255839;257852;259181;261160;262752;264717;267852;271185;275508;278914;280845;282572;284172;285946;287795;289448;291104;292559;294594;296996;299799;302340;304354;305857;307389;309009;310394;312080;313576;315186;317132;320611;323590;326600;328210;329582;331207;332640;333888;335179;336503;338060;340262;342717;345143;346567;349812;351123;352749;354018;355186;356228;357482;358850;360967;364951;369657;371789;373436;374717;376491;377752;378999;380309;381675;383172;384903;388206;391286;393723;395493;396727;398260;399584;400788;401918;403280;404815;407052;409275;414327;415904;417826;419366;421101;422630;424109;425589;427105;428726;430927;435481;439700;443121;445111;446685;448584
IL;Aldrans;2776;6189;7945;8574;9792;11837;14751;18411;21980;23541;23953;26002;28331;31626;33180;34235;36017;38234;41629;45086;47574;49409;49773;51733;53836;56561;58504;59236;60791;62650;65590;69189;71347;73208;73927;75829;78218;80123;82176;83156;84083;85681;88240;91836;93860;95213;95358;96553;98515;100793;102722;103934;104885;106691;108818;111837;114143;116006;116653;117965;120065;122427;124322;125042;127207;128834;131018;133778;135978;137946;138326;139953;141825;144186;145834;147041;147987;149810;152132;154554;156186;158070;158519;159672;161300;163745;166204;167120;168282;169734;171921;174687;176800;178362;179060;180595;182910;184789;186895;187365;189064;190996;193121;195578;197089;198630;199091;200245;202501;204653;206102;207226;208686;210393;212429;214789;216510;217845;218104;219342;221596;224079;225819;226378;227737;229160;231165;233558;235135;236572;237529;238718;240561;241972;243863;244439;245492;247149;249176;251383;252750;253915;254399;255425;257318;259369;260823;261599;262520;264118;265752;268014;270049;271151;271824;273192;274516;276422;277793;278166;278951;280128;281774;283767;285778;287425;288159;289536;290908;292773;294102;295085;295834;297086;298725;300514;301917;303042;303487;304613;306107;307880;309208;309902;310697;312326;314197;316176;317874;319001;319445;320665;322197;323872;325154;325686;326932;328286;330127;331903;333347;334576;335026;336139;337502;339384;340948;342364;343582;345283;347195;349171;350815;352298;353102;354503;355823;357754;359594;360461;361699;363648;365827;368208;369961;371071;371539;372399
IL;Ampass;238;753;1316;1832;2741;4199;5933;7971;9161;10005;10152;10830;11236;12006;12369;13337;14330;15371;16664;18133;19658;20489;20844;21711;22058;22557;23260;23556;25584;26949;28853;30939;32483;33742;34307;35445;36130;37449;38431;39774;41143;42612;44528;46536;48184;49832;50313;51413;52263;53408;54682;55592;56819;58135;59930;61586;63137;64190;64387;65330;66141;67089;68005;68935;70052;71127;72626;74193;75475;76479;76635;77454;78187;78961;79687;80675;81775;82836;84238;85695;86840;87956;88128;88945;89612;90726;91323;92187;93441;94831;96455;98126;99474;100511;100638;101491;102248;103123;104113;105120;106142;107334;108945;110578;111788;112689;112795;113620;114358;115186;115874;116466;117396;118440;119884;121422;122462;123004;123173;124074;124774;125769;126411;127141;128065;129033;130332;131605;132649;133303;133654;134478;135219;135990;136680;137285;138486;139521;140944;142466;143757;144334;144502;145152;145995;147105;147927;148475;149559;150766;152166;153578;154683;155446;156167;157116;157912;159000;159610;160354;161412;162628;164088;165578;166531;167293;167590;168490;169264;170007;170944;171392;172500;173745;175088;176526;177561;178262;178651;179747;180568;181526;182157;182941;183913;185166;186667;188184;189304;190053;190379;191525;192671;193911;194927;196027;197349;198903;200784;202767;204400;205346;206175;207849;209254;210626;212030;213264;214874;216786;219070;221384;223299;224530;225314;226650;227810;229314;230555;231602;233205;234909;236987;239201;241020;242304;243203;244647
IL;Axams;15894;33079;46684;51813;53408;59197;68228;80779;86221;89139;90295;101533;120268;143375;159608;166531;170169;176768;188105;201372;207046;212339;213653;225277;244936;271840;289318;295592;299500;303738;313153;325020;328952;332690;334131;345973;360666;381375;396491;401953;404795;409866;417744;430334;436758;440798;442087;452678;468668;490604;503152;510936;515108;520209;530137;544276;550231;553001;554688;564200;581056;601368;618950;624287;630988;636729;645059;659582;665374;668941;670626;680408;696354;716771;730388;736813;742741;749068;759068;769068;776104;780552;782765;791958;808217;829804;841819;849640;856989;863519;872970;884375;890136;894522;897074;907226;924722;946955;964744;968427;975580;985109;994787;1005414;1011307;1014767;1016532;1027276;1043282;1063509;1073860;1082745;1089427;1096122;1104356;1114202;1120178;1124174;1125745;1136747;1150514;1171721;1185796;1195286;1204296;1212265;1222872;1235079;1241622;1246224;1248041;1260095;1276611;1293883;1308224;1314720;1322606;1331766;1343492;1355948;1363836;1370496;1372668;1381984;1398849;1418984;1433543;1441187;1450232;1458304;1469186;1481095;1490127;1497396;1500437;1510821;1527393;1549782;1562458;1569397;1579318;1587819;1599895;1612506;1621112;1627695;1629490;1640074;1659207;1678345;1691553;1701107;1709814;1718651;1731152;1745089;1755192;1762060;1765081;1777606;1795224;1818710;1835814;1846422;1857492;1868945;1884280;1900171;1912047;1922061;1924142;1934627;1953787;1976243;1993869;2005965;2016617;2026132;2039832;2053331;2063956;2072637;2075208;2085164;2104925;2125120;2143192;2155744;2166502;2178981;2193143;2209204;2222088;2232596;2238703;2248688;2266029;2290016;2311107;2322384;2335587;2347838;2363570;2378968;2391670;2405396;2409066;2420941
IL;Baumkirchen;44;108;206;366;381;785;1019;1252;1996;2022;2034;2115;2143;2229;2235;2359;2460;2671;2870;3138;3820;4207;4386;4828;4881;5045;5139;5201;5255;5324;5333;5524;6105;6125;6149;6239;6358;6490;6490;6557;6558;6671;6796;7009;7562;7640;7682;7781;7959;8031;8041;8221;8256;8335;8367;8518;9388;9478;9550;9765;9877;9900;9944;9994;10037;10114;10214;10579;10676;10838;10983;11000;11112;11232;11330;11373;11493;11581;11682;11797;12649;12709;12769;12959;13041;13110;13205;13344;13508;13843;14058;14165;15021;15161;15428;15639;15692;15775;15860;15938;15976;16022;16057;16079;16171;16228;16284;16390;16486;16494;16549;16549;16650;16653;16653;16765;16995;17025;17056;17112;17169;17221;17227;17259;17287;17355;17386;17526;17854;17893;17924;18033;18037;18037;18044;18046;18054;18055;18055;18071;18074;18076;18079;18121;18134;18138;18138;18172;18209;18218;18225;18265;18283;18306;18320;18348;18362;18362;18362;18369;18369;18492;18499;18499;18609;18615;18627;18662;18662;18666;18666;18666;18669;18723;19103;19294;19387;19469;19740;19799;19846;20006;20040;20202;20332;20349;20476;20594;20781;21053;21208;21318;21398;21537;21725;21824;21933;21957;22236;22350;22580;22755;22936;23140;23271;23443;23692;23817;23912;24430;24689;24842;25055;25254;25446;25661;25818;26229;26303;26377;26610;26644;26782;27108;27292;27566;27789;27998
IL;Birgitz;3684;7589;10577;11766;13156;15633;18376;21991;24939;25343;25464;27782;30934;35131;37973;39289;40505;43008;45647;48717;51697;52501;52746;55251;58483;63166;67125;67725;68803;70969;73413;76452;78630;80251;80635;83011;86632;90345;93521;94638;95616;98427;101547;105083;107829;109094;109246;111868;114954;119182;122166;123882;125571;127992;130148;133502;135805;136990;137099;138760;142160;145873;149281;150181;151075;153104;155189;159019;161936;163211;163426;165003;168093;171955;175025;176243;177579;180690;182925;186205;189070;189737;190166;192316;194508;197764;200805;202507;204148;207183;209347;212628;216016;217758;218303;220376;223141;226648;230708;231341;233673;236338;238639;241735;244777;245868;246429;248270;250486;253532;255444;256837;258042;260604;262309;264819;267678;268708;269070;270669;273495;276592;279231;280138;281418;283700;286004;289352;292045;293440;293790;295304;297712;300804;303176;303630;304848;307662;309568;312391;314824;315911;316446;318198;321083;324447;326308;327190;328458;330645;332311;334937;337119;337954;338531;339682;341855;344368;346472;346922;347845;349335;350575;352287;354260;354936;355366;356464;358238;360477;362236;362548;363538;365244;366634;368273;369615;370587;371023;372236;374099;376787;378137;379212;380518;382176;383795;385498;387100;387728;387989;389102;390854;393216;395250;395720;396747;398305;400003;401781;402934;403705;404178;405170;407086;409576;411136;411802;412810;414693;416252;418324;420141;421443;421718;422834;424959;427313;429264;430060;431190;432752;434264;436221;438013;438786;439031;440121
IL;Ellbögen;896;1772;2354;2648;2807;3307;4532;6290;7016;7525;7607;8436;9345;10497;11254;11537;12054;12621;13773;15707;16309;16837;17076;18031;18779;20479;21516;21928;22251;22892;24325;26265;27241;27802;27952;28743;29834;31023;32252;32523;32797;33694;35029;36999;37846;38287;38597;39707;41207;42785;43682;44167;44371;44786;45794;47435;48300;48687;48839;49534;50746;52107;53401;53617;54266;54722;56105;57779;58363;58753;58850;59666;61142;62591;63581;63826;63995;64555;65709;67527;68481;68881;68985;69825;71141;72937;73869;74243;74613;75399;76912;78537;79167;79534;79894;80848;82019;84017;85516;85622;86394;87292;88999;90887;91624;92177;92405;93361;94559;96328;97203;97709;98009;98682;99967;102094;103011;103468;103699;104633;105743;107808;108442;108873;109833;110644;112725;115245;116133;116509;116650;117646;119458;120931;122004;122331;122760;123829;125753;127991;128772;129383;129575;130257;131969;133798;134552;134844;135347;136297;138414;140291;141037;141695;142107;143022;144360;146452;147360;147589;148335;149145;151376;153631;154553;155192;155536;156748;157740;159349;160569;160948;161369;162352;164095;166458;167183;167860;168202;169086;170192;171670;172494;173157;173530;173870;175211;177100;177887;178191;178440;179332;180265;181630;182451;182627;183220;183631;185579;187568;188428;189127;189182;189733;190733;191695;192505;193140;194222;195602;197761;199883;201107;202292;202618;203325;204372;206076;206914;207383;207874;208598;210348;212266;213306;214242;214655;215359
IL;Flaurling;116;254;476;781;898;1207;1644;2081;2292;2407;2407;2885;3128;3331;3545;3664;3775;4019;4405;4791;5027;5135;5135;5573;5810;6108;6465;6503;6597;6710;6908;7382;7605;7893;7893;8183;8410;8663;8857;8956;9039;9209;9431;10104;10317;10463;10484;10811;10979;11399;11563;11680;11923;12232;12810;13318;13457;13529;13575;13772;13957;14360;14408;14512;14600;14826;15469;16277;16527;16752;16779;17073;17418;17808;17927;18058;18237;18410;19107;19785;20009;20182;20248;20575;20844;21298;21445;21501;21633;21948;22505;22961;23128;23342;23676;24124;24677;25478;25892;26026;26318;26600;27295;28155;28426;28555;28684;29206;29543;30209;30389;30500;30684;30904;31547;32341;32459;32623;32839;33215;33577;34255;34377;34575;34633;34825;35252;35760;35969;36021;36059;36236;36498;36808;37017;37108;37250;37354;37942;38429;38514;38549;38630;38842;39027;39446;39565;39641;39810;39999;40389;40861;41155;41267;41267;41484;41638;42048;42121;42174;42407;42699;42955;43983;44138;44213;44225;44549;44646;44946;45182;45344;45431;45652;46183;46864;47011;47094;47180;47458;47849;48237;48360;48518;48634;48821;49147;49958;50090;50090;50197;50406;50679;51229;51547;51662;51773;52008;52656;53377;53672;53711;53783;54016;54255;54654;54993;55107;55257;55576;56103;56736;56976;57034;57094;57357;57625;58099;58491;58592;58669;58884;59298;59712;59935;59991;60046;60251
IL;Fritzens;75;223;498;820;1224;1784;2392;3008;3363;3554;3803;3945;4067;4293;4484;4867;5088;5471;5845;6343;6644;6904;7122;7362;7538;7784;7939;8241;8616;8933;9374;9884;10307;10624;11018;11312;11410;11616;11748;11841;11937;12165;12654;13114;13427;13526;13598;13868;14053;14172;14275;14406;14566;14698;15188;15697;16084;16336;16573;17058;17280;17478;17658;17824;18014;18357;18673;19282;19563;19812;20070;20351;20527;20651;20904;21028;21238;21545;22387;22765;23131;23404;23719;24143;24608;24909;25105;25226;25409;25600;25989;26281;26478;26630;26777;27049;27336;27603;27824;27945;28126;28272;28488;28739;29061;29341;29445;29617;29707;29908;30036;30108;30218;30327;30487;30670;30801;30838;30915;31090;31190;31325;31350;31393;31501;31563;31739;31987;32136;32180;32222;32351;32420;32480;32571;32657;32791;32888;33232;33482;33637;33744;33904;33981;34306;34510;34570;34745;34848;34981;35175;35436;35643;35705;35820;35938;36014;36224;36256;36316;36450;36592;36699;36921;37046;37107;37213;37323;37402;37484;37614;37723;37864;37990;38141;38423;38626;38754;38910;38988;39089;39243;39329;39529;39693;39752;40081;40427;40578;40629;40710;40827;41013;41217;41275;41371;41479;41606;41828;42070;42295;42456;42590;42721;42849;42851;42851;42851;42911;43018;43265;43417;43534;43639;43752;43843;43945;44114;44228;44338;44454;44613;44859;45077;45402;45500;45581;45724
IL;Fulpmes;38980;87715;127289;154604;160466;174998;208241;245730;267942;278665;290436;318434;358431;405972;444248;471719;479708;495351;526069;563390;585988;598972;614616;642133;679183;733019;785141;801607;809787;827335;861418;901121;924900;937972;952321;981308;1024915;1078656;1127513;1161425;1169673;1191011;1220432;1264551;1289053;1301032;1316034;1347876;1386784;1444104;1487561;1517128;1522255;1536727;1565269;1608645;1632602;1646430;1659700;1685396;1730469;1780907;1835634;1848494;1857795;1871036;1902028;1942420;1964192;1977633;1991156;2016448;2055241;2103367;2142565;2176427;2182449;2197320;2226130;2264826;2285940;2297459;2309814;2338360;2376495;2425293;2465572;2492473;2501256;2517444;2548154;2585010;2607270;2619139;2635597;2664576;2706347;2761929;2821690;2835067;2847390;2864385;2897483;2934919;2958792;2972390;2987545;3019829;3061921;3113599;3148425;3178816;3186618;3202981;3236458;3274338;3296804;3308713;3323395;3355499;3395745;3448538;3490798;3515263;3525455;3544043;3578106;3621348;3645556;3663975;3680977;3708611;3751768;3796819;3839223;3865336;3872743;3892133;3921340;3960801;3981998;4000100;4019489;4050206;4094203;4148496;4190145;4218007;4228684;4244548;4277374;4319532;4342273;4361241;4383243;4417082;4459173;4517068;4568338;4586303;4599490;4618384;4654023;4696166;4721450;4741990;4761338;4793095;4831773;4881277;4925026;4951139;4959347;4975288;5004476;5046149;5069001;5084894;5101747;5138651;5178758;5233560;5272554;5297084;5307352;5325152;5360176;5401377;5423141;5436047;5456841;5492469;5530528;5583951;5632563;5643401;5654317;5668853;5705011;5747431;5769897;5785623;5802121;5831974;5870361;5919002;5955408;5984318;5992585;6012790;6051377;6094987;6118810;6135186;6152026;6180772;6219501;6271703;6316110;6332240;6340651;6357194;6398280;6440384;6464828;6476577;6492360;6522294
IL;Gnadenwald;751;1200;1624;1985;2450;3454;5677;7383;8666;9655;9941;10660;11179;11610;12118;12729;13498;14082;15461;17283;18413;19202;19519;20016;20290;20932;21526;21783;22595;23511;24865;26590;28078;28970;29189;29932;30442;30942;31512;32162;32960;33907;35263;37805;38843;39795;40112;40946;41699;42865;43555;44190;45092;46159;47564;49780;51264;52538;53286;54233;55770;56984;57960;58514;59955;61457;63710;66061;68184;70116;71546;73383;75694;77118;78330;79748;81122;83058;86022;88473;90715;92691;94197;96623;98083;99561;101102;102540;104603;106651;109488;112320;114196;116336;117626;119419;120829;122443;124069;125338;127313;129037;132004;134984;137080;139131;140541;142634;144404;146031;147582;149262;150675;152480;154773;157360;161490;162995;163949;165747;167140;168970;170248;171450;173239;175059;177177;179065;180962;182677;183878;185404;187288;188678;189780;191148;192827;194856;196805;199287;201223;202663;203780;205255;206593;208331;209840;211326;213230;215210;217328;219864;221808;223491;224624;226116;227580;229017;230193;231310;232775;234107;236061;238516;240337;241853;242836;244278;245535;246652;247614;248673;249990;251394;253363;255612;257428;258881;260010;261619;262903;264357;265301;266343;267159;268070;268512;270712;272394;273867;274883;276329;277221;278154;279149;279915;281341;282686;284045;285658;287256;288523;289300;290639;291577;292441;293398;294655;295941;297109;298452;300151;301863;303471;304732;305704;306502;307716;308739;309761;311045;312100;313569;315252;316914;318268;319386;320336
IL;Gries am Brenner;2717;6000;8929;10585;11854;14221;19325;24073;26237;27004;27128;31219;34144;38538;41015;42035;42853;44598;47826;51781;53157;53893;53957;56328;58899;64411;66968;67791;68602;70954;75314;79925;81821;82867;83176;86060;89608;93335;96629;97597;98979;101701;105853;110739;112627;113441;113789;116733;119806;124480;127200;128230;129539;131437;135308;140006;143233;144449;145409;147806;151872;156312;159154;160289;162207;163824;167589;173413;175558;177209;177453;179734;181910;185323;188759;189989;191305;193629;197954;201692;203512;206035;206446;208973;210994;214502;216492;217981;219747;222351;226774;231094;235851;237996;239189;242172;244778;248413;250469;251576;253557;255755;260668;264445;266888;268524;270363;272698;275553;278942;280641;282352;284189;286821;291247;296013;298964;300362;301050;304350;307246;310459;312599;314303;316650;319521;324066;329422;332521;334122;335077;337529;340505;342870;345500;347107;349648;352102;357843;362569;366601;368825;369587;371949;374971;377862;379558;380853;383263;385993;390790;395923;398973;401263;402632;405166;407513;410736;413469;414513;416717;419847;423740;427403;429411;432243;432733;434995;437751;440427;443071;444565;446136;448594;451745;456974;460873;462659;463491;466154;469009;472574;474829;475796;477529;479686;484210;490164;493539;494898;495690;497830;501385;505389;507293;508425;510580;512840;516741;520425;525767;526891;528749;530324;534059;538286;541234;542723;544944;547937;552708;558260;562323;564536;565876;567869;571649;576021;578764;580815;583463;586725;591107;595981;600611;603093;604093;607804
IL;Gries im Sellrain;4498;9653;16291;20426;20678;23317;29591;36503;41092;42434;42684;47438;52233;59688;65614;70911;71152;73407;78998;85394;88273;89335;89435;94490;98931;107245;115071;117411;118465;120680;126016;132450;136050;136803;136882;141673;146705;153297;160557;165030;165426;167749;172223;179608;182941;183701;183739;188885;193158;200948;206544;211304;212062;214941;220493;227638;231854;232662;232807;237292;242181;249867;258353;259594;260458;263015;267633;274205;277172;277660;277780;282036;286466;293399;299412;303820;304063;306169;310351;315451;320049;320507;320577;324983;329337;337250;342568;346792;347521;349556;353974;358693;361811;362302;362560;367429;371812;379617;387751;388741;389588;391709;395797;399942;404468;404981;405213;410460;415238;422561;426866;431892;432443;434583;439344;444199;447100;447966;448127;452394;457166;464864;470624;473965;474962;476981;481288;486570;490322;490832;490974;495113;500072;506281;512676;515815;516301;518193;523103;529107;532129;533498;533597;537032;541488;549356;554787;558088;558690;560796;565847;571596;574847;575296;575770;579909;584460;592490;599165;601120;601937;603985;608994;615582;618355;618993;619194;623158;627296;633824;639547;642832;643583;646121;651002;657574;660664;661479;661935;665898;669913;677459;683185;685514;686056;688326;693278;699491;701978;702557;702768;706135;710779;718481;725166;726015;726479;728010;733318;739926;742675;743502;743695;746422;751246;758483;764090;767122;767474;770325;776569;783177;786775;788186;788966;792425;797044;804983;811852;813590;814113;816466;823070;829603;833850;834684;834931;838324
IL;Grinzens;72;142;265;299;305;345;507;751;790;830;862;940;1038;1112;1142;1182;1224;1237;1348;1522;1618;1621;1628;1712;1771;1897;1983;2014;2026;2038;2168;2239;2465;2475;2475;2510;2576;2642;2738;2774;2788;2838;2966;3123;3220;3307;3307;3327;3335;3428;3428;3442;3442;3450;3577;3722;3745;3753;3761;3779;3792;3857;3899;3901;3913;3944;3982;4060;4068;4068;4099;4151;4207;4328;4401;4481;4481;4706;4993;5190;5414;5446;5452;5627;5857;6239;6391;6469;6497;6619;6811;7166;7298;7370;7485;7687;7822;8125;8325;8351;8454;8588;8681;9337;9628;9735;9735;9972;10147;10405;10482;10662;10821;11302;11927;12682;13023;13237;13403;13728;13962;14340;14502;14695;14883;15063;15511;16141;16508;16653;16703;17018;17227;17539;17728;17863;17934;18152;18674;19455;19902;19963;20021;20225;20446;20683;20759;20841;20853;21051;21496;22092;22299;22319;22329;22413;22508;22637;22687;22694;22706;22861;23346;23957;24233;24351;24441;24506;24550;24697;24881;24957;24972;25162;25586;26127;26392;26523;26613;26816;26950;27172;27233;27297;27398;27530;27970;28734;29023;29223;29292;29552;29680;30099;30418;30525;30760;31062;32034;32949;33361;33738;34273;34651;34854;35080;35258;35451;35534;35832;36654;37546;38068;38545;38910;39307;39453;39666;39905;39973;40050;40362;41182;42038;42462;42606;42677;42809
IL;Gschnitz;4121;9040;12142;12940;14483;17424;23037;28997;32848;34850;34879;37713;41607;47268;50456;51592;53359;57189;63372;70704;74560;76581;76686;79518;83074;88754;91612;92491;94684;98134;103511;110379;114978;116574;116704;119475;122021;126877;129379;130501;132823;135978;139656;145964;149756;151617;151742;154086;157278;162549;164248;165359;166880;168993;172830;178706;181509;182229;182229;183962;187084;190717;192773;193178;193834;195501;198260;203038;204920;205507;205607;207096;209401;212714;214219;214720;215497;217101;220194;224942;227375;227978;227978;229983;232099;235909;237283;238377;239418;241141;244680;249570;252696;254217;254483;256632;259265;263389;266326;267018;268157;269815;273939;279192;282321;283566;283584;285953;288452;292922;293884;294358;295262;296555;300026;304834;308338;309138;309270;312041;314652;318411;319553;320142;320928;323102;326585;330803;333430;334280;334285;336124;338914;341927;343579;343928;344211;346308;350035;354394;356814;357274;357311;359489;361781;365880;366947;367824;368163;370020;374453;378971;381152;381764;382101;384231;386433;390365;391420;391923;392502;394130;397439;401801;403617;403908;403908;406083;408032;411104;412501;413676;414573;416305;419654;424448;427222;427706;428160;430083;432579;436632;438091;439372;440891;443525;448105;454625;458176;459935;460994;463211;466057;469407;472275;474282;475976;478174;484678;492504;497207;499107;500151;502285;505093;508648;511186;512966;514946;518336;525810;533901;537866;539033;539917;542335;544759;548805;551627;553098;555451;558339;566112;573833;578835;580332;580751;582954
IL;Götzens;6142;14898;21217;23661;26289;32807;40207;48744;56586;58639;58846;64625;72162;83334;91221;96230;99060;105002;111375;120167;128519;131981;132342;139439;148500;161664;170848;174173;179575;186747;194974;205316;213885;218108;219083;225919;233623;245701;254584;261466;264583;272988;280573;291558;300567;305039;305113;312576;320619;332875;341721;348437;352852;361043;368274;377603;386067;390116;390412;395970;407934;419764;432134;435708;439700;445810;454342;464279;472396;477842;479007;485326;493649;504338;513750;518372;522875;530076;537382;547455;556039;566219;569753;576127;585329;595421;604044;609325;615596;624493;634311;646288;656202;664326;665782;672226;680985;692541;704470;706854;711413;721051;728596;736443;743996;747810;748221;756100;765274;776599;784426;790091;793812;799490;806843;815513;823823;830710;831457;838325;845603;855472;864191;868828;872434;879159;886936;898974;907500;913663;916135;924265;932761;942122;949682;953333;957354;964832;973324;983528;992054;995520;997094;1005437;1014594;1024908;1032639;1037663;1043510;1051225;1059707;1069657;1078420;1082998;1085971;1094345;1102183;1114058;1124331;1129266;1137663;1145944;1154386;1164693;1172953;1176881;1178673;1186773;1195253;1204843;1213780;1219883;1227445;1235598;1245191;1255590;1263383;1269301;1273308;1280033;1286193;1295238;1301256;1308225;1316051;1325142;1334012;1344325;1352898;1358913;1364769;1372770;1381182;1390430;1397484;1403682;1411210;1418507;1427165;1436520;1443989;1448621;1454937;1461068;1468182;1475225;1479332;1485747;1493865;1502849;1512501;1522557;1530228;1537325;1541652;1549107;1555463;1564046;1571681;1577886;1585056;1592884;1601743;1610448;1619083;1625055;1629697;1636016
